filename,label,prediction,P(AI),num_chunks
ai_blues_03.wav,1,1,0.8194941138187246,54
ai_classical_01.wav,1,0,0.4408299692492558,12
ai_disco_09.wav,1,0,0.2830955830838435,56
ai_jazz_02.wav,1,0,0.18798883708085348,30
ai_kpop_song_18.wav,1,1,0.688303601381159,29
ai_metal_02.wav,1,1,0.7152992522655566,16
ai_metal_10.wav,1,1,0.8762189409544279,58
ai_older_tracks_03.wav,1,1,0.7831433990737202,47
ai_older_tracks_06.wav,1,1,0.8113319357489988,32
ai_older_tracks_07.wav,1,1,0.7267795459993128,37
ai_older_tracks_13.wav,1,1,0.6963928447647043,38
ai_older_tracks_33.wav,1,1,0.6945719930615988,47
ai_older_tracks_37.wav,1,1,0.8598304357357407,26
ai_older_tracks_38.wav,1,1,0.9405323698894696,42
ai_older_tracks_48.wav,1,1,0.8830515361605841,40
ai_older_tracks_53.wav,1,1,0.8769303011586655,33
ai_older_tracks_56.wav,1,1,0.8498388589392617,36
ai_older_tracks_57.wav,1,1,0.8617549835058824,26
ai_older_tracks_60.wav,1,1,0.9152881260334117,26
ai_older_tracks_70.wav,1,1,0.8793271588129647,30
ai_older_tracks_73.wav,1,1,0.9179573263835128,40
ai_older_tracks_77.wav,1,1,0.8026516861135171,26
ai_older_tracks_87.wav,1,1,0.8780791535831761,39
ai_older_tracks_94.wav,1,1,0.8509116916494327,37
ai_older_tracks_96.wav,1,1,0.9605613526406184,43
ai_pop_05.wav,1,1,0.816873074809569,40
ai_pop_09.wav,1,1,0.5138832765806328,48
ai_reggae_01.wav,1,1,0.5715145394508696,38
ai_reggae_06.wav,1,1,0.7373274640983062,23
ai_reggae_08.wav,1,0,0.45189815144126055,36
ai_reggae_09.wav,1,1,0.6011295862897756,45
ai_rock_04.wav,1,1,0.6769527583570327,44
ai_rock_10.wav,1,1,0.7160626959284123,54
blues_blues.00022.wav,0,0,0.20186259970279052,6
blues_blues.00067.wav,0,0,0.1196039490545619,6
classical_classical.00003.wav,0,0,0.2882943841035068,6
classical_classical.00005.wav,0,0,0.046516452220557815,6
classical_classical.00080.wav,0,0,0.04884474898927426,6
country_country.00038.wav,0,0,0.3491471185895911,6
country_country.00051.wav,0,0,0.11521021499597789,6
country_country.00079.wav,0,0,0.3060009404202651,6
disco_disco.00051.wav,0,0,0.014052145582680559,6
disco_disco.00061.wav,0,0,0.2801841526406687,6
hiphop_hiphop.00034.wav,0,0,0.3575603260853207,6
hiphop_hiphop.00047.wav,0,0,0.13155264683029735,6
hiphop_hiphop.00070.wav,0,0,0.07725234937189886,6
hiphop_hiphop.00099.wav,0,0,0.12302695924781694,6
human_kpop_song_11.wav,0,0,0.2041837821416047,44
human_kpop_song_12.wav,0,0,0.29266455207433895,35
human_kpop_song_15.wav,0,0,0.3192712700041407,38
human_kpop_song_6.wav,0,0,0.22175196283127238,37
jazz_jazz.00003.wav,0,0,0.018640455978854945,6
jazz_jazz.00044.wav,0,0,0.14021392942866642,6
jazz_jazz.00046.wav,0,0,0.09636990767853375,6
metal_metal.00045.wav,0,0,0.055484920178379256,6
metal_metal.00058.wav,0,0,0.00654862600181632,6
metal_metal.00093.wav,0,0,0.0669312882212244,6
pop_pop.00001.wav,0,0,0.06418194247038277,6
pop_pop.00089.wav,0,0,0.1494678661194568,6
reggae_reggae.00048.wav,0,1,0.6758954305543116,6
reggae_reggae.00049.wav,0,0,0.17348341691348765,6
reggae_reggae.00066.wav,0,1,0.6467586973058196,6
rock_rock.00014.wav,0,0,0.2824647968325803,6
rock_rock.00051.wav,0,0,0.3720298743127972,6
rock_rock.00072.wav,0,0,0.11436914569908273,6
rock_rock.00098.wav,0,0,0.04889928739784063,6
